candidate_id,rank,score,reasoning
CAND_0092810,64,0.7076,"10.8 YOE as Graphic Designer. Strong retrieval background (embedding, pinecone). Located in Bangalore, Karnataka with 90d notice."
CAND_0094323,65,0.7076,"8.9 YOE as Full Stack Developer. Strong retrieval background (). Located in Bangalore, Karnataka with 30d notice."
CAND_0063539,66,0.7075,"10.1 YOE as Sales Executive. Strong retrieval background (retrieval, faiss). Located in Bangalore, Karnataka with 90d notice."
CAND_0078201,67,0.7075,"7.8 YOE as Data Analyst. Strong retrieval background (). Located in Bangalore, Karnataka with 120d notice."
CAND_0086642,68,0.7073,"9.5 YOE as Cloud Engineer. Strong retrieval background (). Located in Pune, Maharashtra with 90d notice."
CAND_0020876,69,0.7072,"7.6 YOE as Data Engineer. Strong retrieval background (). Located in Mumbai, Maharashtra with 60d notice."
CAND_0018872,70,0.7071,"9.5 YOE as QA Engineer. Strong retrieval background (). Located in Mumbai, Maharashtra with 120d notice."
CAND_0067211,71,0.7071,"9.9 YOE as Java Developer. Strong retrieval background (vector). Located in Mumbai, Maharashtra with 150d notice."
CAND_0039982,72,0.707,"11.1 YOE as HR Manager. Strong retrieval background (retrieval, embedding). Located in Mumbai, Maharashtra with 90d notice."
CAND_0068061,73,0.7069,"9.9 YOE as Full Stack Developer. Strong retrieval background (). Located in Delhi, Delhi with 30d notice."
CAND_0072606,74,0.7069,"9.0 YOE as Java Developer. Strong retrieval background (retrieval, qdrant). Located in Pune, Maharashtra with 150d notice."
CAND_0072039,75,0.7068,"8.9 YOE as QA Engineer. Strong retrieval background (). Located in Pune, Maharashtra with 120d notice."
CAND_0075550,76,0.7067,"9.0 YOE as Java Developer. Strong retrieval background (). Located in Noida, Uttar Pradesh with 30d notice."
CAND_0085502,77,0.7065,"9.8 YOE as Mobile Developer. Strong retrieval background (). Located in Pune, Maharashtra with 150d notice."
CAND_0064215,78,0.7063,"8.7 YOE as Civil Engineer. Strong retrieval background (retrieval, embedding). Located in Hyderabad, Telangana with 90d notice."
CAND_0081793,79,0.7062,"9.1 YOE as Full Stack Developer. Strong retrieval background (). Located in Noida, Uttar Pradesh with 30d notice."
CAND_0091568,80,0.706,"9.9 YOE as .NET Developer. Strong retrieval background (). Located in Pune, Maharashtra with 90d notice."
CAND_0003248,81,0.7059,"8.8 YOE as .NET Developer. Strong retrieval background (). Located in Bangalore, Karnataka with 90d notice."
CAND_0013021,82,0.7059,"7.8 YOE as Senior Data Engineer. Strong retrieval background (). Located in Delhi, Delhi with 60d notice."
CAND_0012669,83,0.7058,"9.2 YOE as Mobile Developer. Strong retrieval background (). Located in Bangalore, Karnataka with 120d notice."
CAND_0006958,84,0.7055,"9.9 YOE as Software Engineer. Strong retrieval background (). Located in Bangalore, Karnataka with 90d notice."
CAND_0065748,85,0.7054,"13.5 YOE as Sales Executive. Strong retrieval background (retrieval, embedding). Located in Bangalore, Karnataka with 60d notice."
CAND_0077750,86,0.7054,"9.8 YOE as Mobile Developer. Strong retrieval background (). Located in Pune, Maharashtra with 90d notice."
CAND_0095060,87,0.7048,"6.3 YOE as AI Specialist. Strong retrieval background (vector). Located in Hyderabad, Telangana with 90d notice."
CAND_0019498,88,0.7047,"9.5 YOE as Full Stack Developer. Strong retrieval background (). Located in Mumbai, Maharashtra with 90d notice."
CAND_0096440,89,0.7043,"7.7 YOE as Data Engineer. Strong retrieval background (). Located in Hyderabad, Telangana with 90d notice."
CAND_0095595,90,0.704,"8.8 YOE as Java Developer. Strong retrieval background (). Located in Hyderabad, Telangana with 30d notice."
CAND_0076655,91,0.7039,"8.8 YOE as Cloud Engineer. Strong retrieval background (). Located in Noida, Uttar Pradesh with 90d notice."
CAND_0091988,92,0.7038,"8.7 YOE as Software Engineer. Strong retrieval background (opensearch). Located in Hyderabad, Telangana with 120d notice."
CAND_0068898,93,0.7037,"7.5 YOE as Frontend Engineer. Strong retrieval background (). Located in Bangalore, Karnataka with 120d notice."
CAND_0096097,94,0.7035,"9.7 YOE as DevOps Engineer. Strong retrieval background (). Located in Pune, Maharashtra with 90d notice."
CAND_0035847,95,0.7034,"10.9 YOE as Business Analyst. Strong retrieval background (retrieval, faiss). Located in Hyderabad, Telangana with 90d notice."
CAND_0065111,96,0.7032,"12.8 YOE as HR Manager. Strong retrieval background (retrieval, pinecone). Located in Mumbai, Maharashtra with 60d notice."
CAND_0021406,97,0.703,"7.3 YOE as Software Engineer. Strong retrieval background (faiss). Located in Mumbai, Maharashtra with 60d notice."
CAND_0071974,98,0.703,"7.8 YOE as Senior AI Engineer. Strong retrieval background (retrieval, embedding)."
CAND_0031221,99,0.7029,"7.6 YOE as Senior Data Engineer. Strong retrieval background (faiss, vector). Located in Noida, Uttar Pradesh with 90d notice."
CAND_0024101,100,0.7026,"9.1 YOE as Java Developer. Strong retrieval background (). Located in Delhi, Delhi with 150d notice."
